metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
checks,1786861853,0.000000,checkout: order_id present,,,,,,,,default,,,,,,,
data_sent,1786861853,931.000000,,,,,,,,,default,,,,,,,
data_received,1786861853,1312.000000,,,,,,,,,default,,,,,,,
iteration_duration,1786861853,2359.265750,,,,,,,,,default,,,,,,,
iterations,1786861853,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861853,2.394000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861853,0.005000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861853,0.022000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861853,2.323000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861853,0.049000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861853,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861853,1.000000,login: token present,,,,,,,,default,,,,,,,
vus,1786861853,3.000000,,,,,,,,,,,,,,,,
vus_max,1786861853,200.000000,,,,,,,,,,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861853,3.446000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861853,0.010000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861853,0.037000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861853,3.343000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861853,0.066000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861853,1.000000,cart: status 200,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861853,2.920000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861853,0.007000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861853,0.034000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861853,2.835000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861853,0.051000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861853,1.000000,cart: status 200,,,,,,,,default,,,,,,,
vus,1786861854,3.000000,,,,,,,,,,,,,,,,
vus_max,1786861854,200.000000,,,,,,,,,,,,,,,,
http_reqs,1786861854,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861854,19.835000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861854,0.014000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861854,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861854,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861854,0.043000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861854,19.666000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861854,0.126000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
